gene_id	RCC_115	RCC_90	RCC_41	RCC_73	RCC_105	PD_007T	PD_011T	PD_012T	PD_018T	PD_019T	PD_020T	PD_022T	PD_024T	PD_026T	RCC_14	RCC_93	RCC_96	RCC_102	RCC_117	RCC_106	RCC_18	RCC_21	RCC_50	RCC_27	PD_005T	PD_010T	PD_013T	PD_014T	PD_015T	PD_021T	PD_023T	PD_025T	RCC_99
VCAM1	368.63	90.46	314.38	10.48	833.49	42.91	264.24	65.71	287.71	14.54	20.25	34.72	788.2	10.02	93.98	24.13	147.06	86.66	367.37	155.53	19.73	757.17	340.72	135.1	377.54	23.2	86.52	112.3	91.68	273.76	59.35	87.23	3.53
EXTL2	8.62	2.22	1.84	7.85	6.99	5.38	3.37	3.06	2.28	4.83	1.71	4.88	2.82	10.11	0.65	4.05	14.66	3.75	3.42	9.2	4.35	6.21	2.78	15.89	2.66	1.55	1.78	2.85	3.2	2.14	1.8	3.28	0.84
SLC30A7	7.1	1.88	7.76	5.66	5.84	36.77	43.39	32.97	39.26	28.75	27.35	29.92	72.45	26.73	5.19	5.42	6.22	3.98	4.45	9.04	1.98	7.01	5.43	5.57	33.85	13.65	33.66	29.7	42.72	47.19	20.55	34.24	2.36
ZNF281	7.07	0.73	5.5	4.01	3.51	8.28	9.45	9.15	8.26	14.28	5.3	5.25	11.85	8.49	2.39	9	9.19	1.98	2.64	7.7	3.2	9.71	4.95	13.09	4.01	8.74	23.47	15.91	10.72	8.64	5.3	5.18	3.61
ARPC5	173.13	149.28	143.78	140.3	68.32	13.41	15.15	11.63	11.71	8.77	6.75	12.77	19.71	8.77	105.19	194.22	127.97	81.42	106.73	172.11	56.88	115.49	170.5	221.71	9.23	6.93	11.06	12.38	10.48	12.53	8.8	11.73	74.81
CADM3	2.94	0	0.19	1.05	88.89	0.15	0.47	3.12	0.32	1.1	5.25	3.27	1.08	0.07	0	1.82	57.1	1.06	0.45	4.63	0	9.41	1.23	1.06	0.08	111.25	0.53	55.21	0.64	20.4	2.25	4.92	0
NLRP3	2.57	0.95	2.61	0.41	1.71	3.44	6.75	11.37	4.67	3.12	6.29	6.39	15.23	3.02	3.17	4.96	1.44	0.8	6.26	7.3	0.69	1.75	1.31	2.25	7.66	1.61	10.88	5.14	2.38	3.18	7.42	9.75	0.45
ZNF496	12.55	0.82	6.26	9.24	3.74	3.41	1.4	1.46	1.8	3.07	0.98	1.74	3.92	3.4	2.27	4.86	14.88	9.69	4.66	11.19	2.83	10.07	5.98	16.09	0.67	0.95	1.39	1.44	1.29	2.67	1.89	1.8	4.45
TRIM58	0.64	0.09	0.14	0.17	0.27	0.04	0.24	0.26	0.12	0.08	0.11	0.18	0	0.07	2.44	0.81	0.6	0.5	0	0.48	0	0.16	0	0.4	0.09	0.02	0.37	0.4	0.07	0.14	0.37	0.47	0.48
SLAMF9	2.8	1.13	0	0	1.97	0	0	0.23	0	1.41	0.02	0	0	0.03	0	1.56	0	0	0	0	1	0	0	0	0	0	0.07	0	0	0.05	0	0.08	1.66
OR2M5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNJ9	0	0.07	0	0	0	0	0.01	0.01	0.03	0.03	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.01	0.02	0.01	0	0.04	0	0
IGSF8	19.02	1.26	5.72	21.67	9.8	5.13	7.5	2.83	3.9	12.51	2.04	6.85	3.48	4.93	8.73	22.68	18.72	17.31	16.81	10.91	7.39	31.21	9.77	15.12	5.75	4.5	3.61	7.76	3	5.48	3.21	4.03	4.51
DDR2	4.94	0.03	3	5.46	1.99	20.83	15.12	9.72	11.85	23.06	4.3	21.33	4.95	8.61	0.88	3.88	15.31	3	2.2	17.12	3.36	2.63	1.93	18.93	4.9	9.84	18.79	19.9	12.93	11.11	18.76	16.74	0.13
PEA15	267.4	45.97	170.94	245.16	87.04	149.47	140.43	190.78	152.78	184.06	64.79	191.17	172.86	120.41	84.75	296.78	318.31	149.13	188.49	366.72	60.93	426.4	188.1	340.95	164.82	62.03	133.76	147.18	129.93	161.43	181.38	218.46	115.21
PEX19	55.53	13.18	32.5	28.15	54.87	21.74	25.7	19.62	15.44	18.77	6.66	28.18	41.16	25.83	19.84	26.37	41.07	23.51	25	67.06	62.56	50.29	25.44	87.01	14.28	9.76	10.89	22.06	19.49	36.51	18.65	15.21	20.45
NCSTN	80.25	8.72	56.6	72.62	55.92	89.99	87.62	93.71	69.44	66.4	42.59	102.13	130.4	88.88	29.86	86.96	62.81	23.28	31.28	67.52	15.41	160.2	54.11	80.97	102.78	50.98	83.98	116.3	79.59	116.02	73.8	81.49	25.97
VANGL2	13.88	0	0.16	1.22	3.66	3.32	0.81	0.29	0.39	0.39	0.33	0.63	6.59	2.36	0.07	0.35	0.34	0.43	0	3.44	0.07	4.79	2.52	5.14	0.04	0.18	0.48	0.5	0.86	1.3	0.57	0.37	0.28
SLAMF6	2.87	0.32	15.1	0.21	0.82	1.05	5.19	1.39	3.91	1.03	9.78	2.93	18.34	0.1	3.84	7.33	3.38	0.45	5.58	4.05	0.9	0.95	7.86	0.98	1.32	1.12	1.16	3.69	0.57	3	1.82	1.78	2.19
OLFML2B	47.78	3.96	9.92	81.94	17.46	16.98	17.23	16.07	8.67	24.83	5.46	31.48	11.79	2.91	9.63	20.12	102.77	36.11	6.15	63.68	5.25	22.88	27.06	101.11	6.26	8.7	25.04	18.89	15.35	16.86	28.18	21.67	2.4
FCRLB	2.45	0.35	1.28	0.35	0.27	0.35	0.02	0.21	0.25	0.21	0.72	0.18	0.57	0.39	0.97	0	3.12	1.79	0.69	0.83	0.43	1.5	2.14	0.81	0	0.1	0.09	0.15	0.19	0.3	0.15	0.33	0.24
FCGR3B	25.91	25.64	1.19	4.61	16.14	0.71	1.38	9.45	3.14	18.53	2.84	0.86	41.85	1.39	130.6	36.61	4.79	5.37	3.55	7.7	6.94	8.4	2.62	8.41	1.41	0.61	4.97	0.9	1.71	4.89	2.11	3.63	48.44
SLC9C2	0	0	0	2.16	0	1.86	0.14	0.01	0.06	0	0	0.17	1.59	0.01	0	2.75	0	0	0.17	0	0.71	0	0	0	0	0.01	0.01	0.04	0.24	1.62	0.01	0	0
KLHDC9	24.82	4.21	1.74	6.81	19.28	3.76	8.01	3.47	5.29	2.52	0.47	1.99	11.05	7.87	4.15	0	11.95	5	21.13	5.61	1.55	2.01	16.14	1.19	12.61	5.75	2.92	2.83	4.74	12.71	3.74	1.72	4.4
C1orf74	4.08	2.22	0.99	1.99	1.23	1.82	1.07	0.62	0.55	0.76	0.73	0.37	0.97	0.67	1.28	2.36	6.01	1.4	4.35	2.22	1.42	1.46	2.46	6.57	0.83	0.23	0.36	0.26	0.79	1.39	0.42	0.72	1.12
LMX1A	0.15	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.54	0.37	0	0.69	0.38	0	0	0	0	0	0	0	0	0	0	0	0
LRRC52	0	0	0	0	0	0	0	0.48	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04	0	0	0
FLVCR1	5.79	1.93	1.76	3.73	2.04	15.38	11.5	9.32	8.09	13.79	6.68	9.95	12.46	12.53	1.12	2.5	8.99	1.43	4.29	3.16	1.15	3.05	4.65	8.51	10.16	3.35	10.66	9.44	8.79	19.39	9.16	10.1	0.81
FAM71A	0	0	0	0	0	0.18	0.07	0.07	0	0.04	0.03	0.01	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0.01	0.02	0	0.01	0	0	0.1	0
ATF3	9.15	5.8	5.3	5.05	6.16	42.46	10.94	45.38	13.3	70.52	13.89	82.28	7.86	11.45	10.61	7.04	38.34	2.2	5.83	21.37	1.13	11.64	2.3	4.81	19.75	6.8	283.49	70.78	29.72	34.76	28.92	14.28	13.51
RBM15	2.76	0.34	2.86	0.87	0.78	13.05	16.86	10.65	16.15	5.74	9.24	6.24	28.36	21.49	2.75	0.79	5.15	1.37	1.08	5.28	0.75	2.96	1.57	4.24	8.16	8.11	7.24	14.47	9.13	16.45	9.6	14.99	2.78
DENND2D	35.25	15.51	71.49	14.17	37.04	12.05	31.56	16.82	23.35	7.94	15.82	15.85	51.43	13.88	53.18	20.36	22.8	24.2	78.95	25.47	6.46	17.27	40.07	30.25	23.29	13.41	7.36	13.62	13.35	37.89	5.64	10	32.37
AXDND1	0	0	0	0	0	0.09	0.84	0.78	0.42	0.79	0.46	0.24	4.17	0.9	0	0	0.24	0	0	0	0	0	0	0	0.99	0.98	0.47	1.32	0.25	1.6	0.49	0.91	0
TDRD5	7.62	0	0	0.15	0.12	0.4	0.11	0.27	0.29	0.04	0.1	0.07	0.19	0.03	0.1	2.04	0	0	0	0	0	0.31	0	0.35	0.45	0.03	0.09	0.15	2.93	1.14	0.09	0.11	0
IER5	7.57	4.31	5.73	18.47	13.11	2.24	2.82	1.97	1.74	2.25	1.7	1.9	4.84	1.15	9.88	13.15	10.01	14.33	21.29	15.77	2.3	12.55	21.66	13.39	1.43	0.85	1.96	2.55	0.63	1.17	2.74	2.14	3.13
SNED1	1.23	0	1.43	2.9	0.29	14.23	14.25	7.87	2.18	5.95	4.39	11.52	3.46	5.49	0.18	1.07	7.75	2.93	1.64	9.54	0.66	4.46	0.4	3.96	1.07	3.73	6.89	13.53	10.72	9.87	12.18	9.35	4.06
BPNT1	50.63	19.75	18.36	18.68	18.17	11.8	14.4	14.44	15.49	10.94	8.49	10.08	22.62	10.95	9.17	21.81	42.24	10.9	12.74	30.57	13.01	23.49	11.7	37.74	20.78	4.97	7.57	7.6	11.66	24.74	10.83	9.81	10.7
SPATA17	1.87	5.43	0.37	0.9	1.84	3.94	11.43	0.75	3.68	3.79	2	1.53	8.81	2.15	0	5.18	0.31	1.32	5.4	2.68	0	2.31	2.53	0.43	5.62	1.26	3.95	1.92	6.57	9.11	2.66	1.23	0.66
C1orf115	44.38	0.33	17.73	4.76	10.1	0.22	0.86	0.67	0.68	0.37	0.3	0.78	0.63	0.17	15.25	8.19	20.69	24.36	12.17	17.65	19.04	7.61	5.59	2.66	1.02	0.29	0.68	1.32	0.82	1.76	0.72	0.36	3.86
BROX	33.33	8.88	28.93	14.66	22.94	35.06	67.18	58.28	69.8	43.96	28.91	51.35	86.33	42.37	13.21	15.64	33.78	14.05	15.4	34.9	3.77	33.02	12.82	33.39	65.72	19.61	30.27	38.11	44.99	109.59	51.91	49.25	14.68
NBPF8	0	0	0.39	0	1.88	16.29	11.68	10.69	14.33	28.36	4.77	12.71	4.56	17	0.34	0	0	0	0	0	0.05	0	0	0.1	7.98	15.87	1.26	9.71	3.53	21.87	5.75	10.97	0
ACP6	18.04	2.09	4.32	4.91	7.12	15.43	10.81	3.43	5.09	7.23	1.75	3.76	10.83	10.62	2.01	7.89	3	8.64	8.4	8.42	2.53	5.73	2.57	18.51	4.97	4.34	1.99	6.54	5.18	10.6	7.32	4.68	1.73
WDR64	0	0	0	0	0.11	0	0.45	0.1	0	0.02	0.28	0.19	0.09	0	0	0	0	0	0	0	0	0	0	0	0.03	0.05	0.07	0.22	0.21	0.57	0.09	0.04	0
KIF26B	2.4	0.04	0.42	0.87	1.27	1.86	1.11	1.7	0.49	5.53	0.68	1	13.72	4.93	0.36	3.13	2.25	0.28	0.68	1.72	0.47	1.41	0.45	5.96	2.68	0.66	2.57	1.84	1.07	1.87	2.64	3.57	0
TFB2M	22.41	13.81	9.75	10.41	8.64	4.75	5.43	3.39	3.52	5.15	4.08	3.57	3.75	4.03	7.01	10.07	16.3	6.96	8.48	13.18	10.69	13.17	13.55	15.42	5.56	1.34	3.05	2.12	5.72	4.5	2.25	2.63	7.35
CNST	6.82	2.08	4.2	4.66	1.71	10.3	15.34	12.74	8.95	11.24	6.63	11.3	14.8	21.21	3.38	5.38	7.08	1.43	2.51	9.91	4.23	6.44	3.29	10.25	8.99	3.83	9.68	13.67	8.57	18.96	13.5	13.91	1.61
PPP1R21	27.25	9.89	20.99	16.31	10.41	23.6	40.03	21.23	34.78	13.63	14.52	18.44	36.14	11.87	16.05	9.6	14.41	17.51	29.83	12.63	3.29	8.18	14.94	16.24	21.83	17.02	13.33	19.53	30.41	48.84	16.74	21.9	9.81
KLHDC8A	0	0	0	3.53	0.34	4.42	0.17	0.74	0.74	0.64	0.09	1.55	0	0.56	0	0.64	2.36	1.05	1.64	5.91	0	0	3.46	6.88	0.02	0.33	1.26	0.34	1.01	0.11	0.63	0.48	0
PM20D1	0.26	0	0	0	0	0.42	0.75	0.55	0.07	0.01	0.17	0.18	1.68	0.27	0	0	0	0	1.64	2.31	0.39	0	0	0	1.01	0.17	0.29	0.4	0.24	0.74	0.24	0.52	0
PKDCC	60.86	27.38	7.08	7.31	65.3	17.81	9.1	4.12	6.77	11.03	7.14	6.33	21.11	14.88	3.63	32.44	101.51	19.8	48.73	32.38	2.52	1.34	9.24	23.24	10.62	12.74	5.35	9.31	7.62	5.47	4.26	16	2.44
OXER1	3.55	0	0.86	1.74	2.97	2.66	4.56	1.25	2.1	0.54	1.09	1.25	4.55	1.8	0.9	0.41	3.22	4.42	6.92	1.45	3.22	0.96	1.79	1.64	1.2	1.28	1.17	3.66	1.67	3.7	1.21	1.52	0.49
HAAO	40.12	1.78	15.4	11.51	18.15	8.19	11.11	6.07	14.13	1.61	3.89	9.82	9.01	3.73	18.02	9.44	76.39	77.05	32.8	31.54	126.68	4.04	16.73	21.26	9.32	5.31	9.71	10.89	11.6	12.66	7.79	9.08	28.32
B3GALNT2	21.37	0.9	6.7	0.92	3.05	7.1	12.28	9.26	4.66	6.99	6.54	6.01	8.19	11.21	2.08	4.68	4.86	0.69	1.18	8.07	7.71	2.64	1.22	28.02	6.78	2.93	6.1	6.7	5.14	9.35	9.57	5.39	8.52
MAPKAPK2	64.62	7.57	44.63	24.64	33.21	58.07	76.35	84.73	54.76	50.07	78.64	86.68	115.57	81.79	27.95	40.82	90.2	45.71	33.29	48.74	8.74	33.04	60.05	81.01	70.64	35.19	71.5	75.35	64.66	131.18	51.3	123.95	20.24
IL20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19	0	0	0	0.89	0	0	0
IL24	0.32	0.52	1.14	0	0	0	0.08	0.18	0	0.01	0.04	0.02	0.74	0	2.22	2.06	0	0.95	1.02	0.95	0.26	0	0.35	0.81	0	0.02	0.13	0	0.05	0	0	0	0.24
FAIM3	11.91	5.01	11.68	3.41	4.27	2.21	11.71	3.45	5.66	2.3	10.36	3.36	34.31	1.05	12.57	2.87	6.56	2.56	4.89	5.44	2.58	1.91	16.44	11.36	1.24	4.15	3.24	11.26	2.96	9.54	3.73	6.41	4.28
PIGR	1334.38	0.52	70.04	0.13	175.97	3.53	396.13	7.9	97.24	0	0.25	1.54	58.63	8.8	7.19	1.93	0.15	1.74	5.46	1.05	5.32	0.35	1.19	3.56	252.61	0.11	0.17	0.88	2.96	0.96	5.6	10.76	0
FCAMR	27.99	5.63	102.85	0.32	79.43	0.6	0.87	10.94	1.46	0	0.1	0.01	1.47	0.09	16.05	0	6.64	1.23	47.31	2.19	1.52	0	6.88	7.75	4.1	0.07	0	0.05	1.09	8.55	0.03	0.92	0
CAPN2	101.3	12.18	39.59	38.17	69.71	79.11	102.08	123.98	102.2	172.97	31.5	102.68	132.11	190.28	38.18	106.29	114.31	31.78	32.42	131.22	12.99	129.32	61.68	112.61	85.82	35.15	100.38	117.97	77.59	90.04	98.97	100.74	126.44
MRPL55	55.93	111.53	26.68	36.79	50.15	3.35	3.57	3.32	2.85	1.81	1.61	2.26	2.97	2.06	40.5	36.01	46.16	158.47	84.66	26.35	41.97	45.15	76.36	24.85	6.49	1.01	3.09	2.54	1.63	4.86	2.42	2.57	70.73
C1orf145	2.16	0.53	1.39	0	0	0.14	1.06	0.48	1.69	1.79	0.28	2.03	2.86	1.16	0	0	0.22	0	0.19	0	0	1.78	0	0.46	0.15	1.9	0.44	2.63	0.57	1.55	0.5	0.6	0
WDR26	35.61	4.9	18.22	25.35	12.19	41.82	44.06	41.09	36.81	42.69	25.27	34.22	63.35	52.52	15.58	28.9	29.88	8.63	13.84	32.37	7.06	32.14	21.9	50.89	32.35	12.87	39.91	41.22	36.7	61.29	34.81	37.13	14.33
REL	1.84	0.12	2.58	0.53	1.03	13.42	20.02	10.25	11.01	7.38	13.16	5.93	21.84	6.68	1.92	2.88	1.29	0.05	1.84	3.43	0.17	0.64	0.34	1.61	10.02	5.62	21.36	14.17	9.36	10.61	19.59	20.79	0.57
PUS10	3.68	6.95	5.1	1.8	4.31	1.89	3.93	3.98	3.21	2.34	2.09	2.39	4.4	1.73	2.52	2.87	11.82	1.72	2.63	5.29	3.81	1.97	2.77	5.4	3.89	2.07	2.58	4.13	3.94	5.99	3.58	2.25	4.99
PEX13	12.1	6.31	4.47	7.28	8.33	7.25	10.19	7.44	6.92	4.36	3.88	6.35	10.31	4.92	3.93	7.37	10.2	2.82	3.86	9.84	5.13	11.62	4.15	6.06	5.49	3.96	5.31	8.74	6.66	8.25	4.56	7.41	13.85
KIAA1841	17.69	1.84	7.05	13.85	4.55	13.83	21.96	9.51	19.56	6.42	9.71	14.13	21.31	7.36	2.24	8.3	10.46	18.63	6.39	6.28	0.35	2.92	1.13	26.42	14.58	11.56	6.51	11.51	9.49	18.5	14.32	9.18	4.04
TRIM17	2.05	0	0	0	0	1.91	2.04	0.41	2.4	1.23	1.04	0.6	5.39	2.01	0	0	2.16	0	0	0.59	0	0	0	0	0.59	0.48	0.22	1.84	0.96	1.17	0.8	2.06	0
RFTN2	0	0.39	0.65	8.59	1.21	4.21	2.1	2.54	2.5	1.06	0.73	2.94	0.24	3.48	0.18	1.67	0.7	0.4	0.46	7.31	0.44	2.1	0.71	4.28	0.21	0.37	1.35	4.87	2.09	1.46	3.2	2.13	0
DISC1	2.46	0.12	2.92	2.2	0.46	7.72	11.02	8.43	8.18	3.4	5.49	6.4	13.09	5.74	1.23	3.52	1.72	1.03	1.64	5.11	0.53	1.79	1.87	5.39	3.34	3.69	8.45	12.91	6.63	6.22	12.84	14.78	0.21
CAPN13	0	0.22	0.79	0	0	0.03	1.26	1.21	1.54	0.11	0.21	0.47	2.25	0.12	0.33	0	0.98	1.37	0	6.69	0	0	0	0	1.12	2.22	0.9	1.88	1.08	6.45	3.22	1.58	0.9
LRRTM1	0	0	0	0	0	0.03	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEMO1	16.74	17.89	11.71	10.42	7.94	13.9	11.7	12.38	7.08	9.34	6.46	10.68	15.21	9.22	6.3	18.73	12.7	11.52	13.97	15.36	11.42	14.64	16.34	16.81	11.68	7.48	7.75	11.43	7.11	15.81	12.38	11.19	22.97
DPY30	121.91	277.02	80.4	69.37	98.7	22.21	18.94	26.34	23.29	24.24	14.04	24.86	14.31	9.47	49.66	66.2	78.53	73.05	86.09	89.89	34.97	101.29	100.87	72.16	27.74	16.84	15.99	12.87	21.57	42.17	12.86	13.67	80.85
TYW5	3.41	3.99	4.56	1.55	1.22	3.52	3.25	2.16	2.28	2.01	1.31	1.45	4.27	3.61	0.76	2.62	5.31	1.35	1.6	4.61	0.64	1.73	2.21	2.45	0.96	0.83	1.17	1.85	1.6	3.36	1.19	1.28	3.33
C2orf47	19.4	9.46	17.53	4.19	14.08	5.67	5.64	10.81	8.8	3.27	6.04	7.72	6.71	9.46	14.11	10.86	16.37	16.4	23.71	10.46	17.09	13.34	12.68	16.65	4.11	1.91	5.97	6.39	8.93	11.92	3.24	6.87	27.02
KCNF1	0	0	0	0	1.38	0.42	0	0.09	0.06	0.02	0	0.08	0.28	0.03	0	0.3	1.18	0.91	1.27	0	0.18	0	0	0	0.12	0.01	0.17	0.04	0.01	0.11	0.04	0.15	0
PQLC3	33.61	20.93	40.86	13.29	15.09	7.25	16.56	16.69	15.82	16.91	11.03	19.74	17.7	10.38	14.63	54.32	36.33	14.87	24.91	45.16	9.59	48.67	28.15	34.45	25.1	11.66	14.95	17.11	13.59	14.76	11.82	13.35	32.94
ARL5A	20.01	11.43	34.18	8.36	10.42	21.91	23.97	17.82	24.15	14.2	10.64	21.45	25.79	21.42	11.1	17.84	19.39	4.91	10.57	41.99	7.84	13.13	11.99	24.26	14.37	6.05	15.55	17.09	19.69	29.2	15.96	18.33	19.59
FAM84A	2.85	0.6	0.93	8.1	3.29	1.39	3.43	1.05	2	0.76	0.11	2.33	2.92	0.68	1.16	0.68	4.38	2.15	2.41	3.45	0.31	3.48	0.24	1.73	2.29	1.66	1.13	1.86	1.28	0.46	1.77	1.09	3.02
KCNJ3	3.14	0.27	17.78	8.52	0.42	50.37	26.47	41.98	35.02	1.34	0.07	24	1.68	4.43	8.34	0	17.68	2.31	1.52	10.57	3.91	0	3.14	7.49	9.19	11.42	33.17	16.33	34.37	48.56	1.49	26.83	1.42
NEUROD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0
CLHC1	4.78	2.83	0	5.57	0	2.68	3.6	1.11	11.46	3.21	1.6	3.63	8.73	3.82	0.22	2.21	6.59	3.23	1.7	1.32	0.25	8.24	1.85	0	2.16	2.41	2.41	4.17	3.2	6.04	2.94	1.9	0
FRZB	5.86	0.18	109.58	90.22	0.41	42.75	5.59	41.87	6.31	0.76	1	10.93	0.77	1.84	1.04	10.98	8.73	7.22	1.59	27.97	87.53	2.44	13.63	387.34	10.53	13.48	2.68	7.14	5.48	173.81	13.24	31.96	0.12
DUSP19	0.99	0.69	3.66	1.57	1.53	2.95	3.05	2.14	1.05	1.26	1.43	2.72	1.91	0.6	0.68	0.48	3.2	0.75	1.14	1.83	0.73	0.57	1.19	0	1.17	0.38	1.08	0.96	2.36	7.84	2.89	1.31	0.22
CFAP36	37.16	44.42	30.43	57.6	33.97	31.97	37.8	28.67	30.11	20.03	9.61	32.73	30.55	12.5	11.48	26.29	61.08	47.86	46.25	52.91	8.17	53.17	38.14	42.85	36.41	27.03	23.53	37.4	32.52	61.27	25.31	25.64	23.6
NUP35	15.69	8.11	12.94	13.37	13.74	11.38	12.02	8.03	7.92	7.2	5.12	7.2	11.32	10.8	6	7.27	18.56	7.27	11.36	12.71	8.46	9.2	5.5	12.57	3.77	6.76	5.57	8.78	10.11	13.51	8.16	8.42	22.44
CCDC138	4.28	1.25	0.6	0.95	1.27	4.06	3.11	1.73	3.38	2.22	1.33	2.06	5.22	2.03	0	2.33	0.84	0.53	1.12	0.93	0.37	0.48	0.78	0.61	0.72	1.92	1.47	2.3	1.11	3.53	1.13	1.31	4.8
ZSWIM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO41	4.07	0.04	1.75	1.95	1.73	0.54	1.06	0.13	0.61	0.28	0.33	0.37	0.88	0.66	1.37	0.17	4.58	0.27	1.04	0.81	0.26	0.61	0.85	2.94	0.08	0.95	0.13	0.5	0.27	0.58	0.54	1.01	2.79
ACTG2	35.62	0.92	1.92	35.2	1.92	4.57	4.39	8.1	4.93	18.24	0.36	15.2	6.06	2.79	0.83	22.97	14.28	123	5.49	31.54	4.43	0	33.59	24.31	7.46	7.16	3	13.04	9.69	11.01	46.49	11.76	0.96
C2orf44	5.97	0.88	3.77	3.63	5.03	2.38	1.66	1.61	1.7	1.2	0.72	0.93	2.11	2.31	2.46	3.03	6.26	2.48	3.59	7.31	3.32	3.05	1.95	4.36	1.21	1.28	0.96	2.5	2.14	1.7	1.95	2.5	1.14
SMC6	11.31	0.75	4.45	3.36	3.71	8.77	9.02	7.26	6.66	7.04	4.1	6.55	8.4	6.19	2.6	9.69	15.25	2.39	3.01	14.79	3.6	3.14	4.34	8.22	5	3.46	4.95	5.5	6.8	14	7.23	6.52	4.48
VSNL1	0	0	0	0	8.74	0.13	0.03	0.18	0	0.7	0.21	0	0	0.04	0	0	2.2	0.29	0	0.88	5.91	1.83	0	4.5	0.02	0.06	0.79	0	0.21	0.13	0	0.01	0
CCDC74A	11.39	12.38	9.56	5.85	10.27	7.6	14.23	4.82	7.79	11.38	1.6	2.23	17.1	3.13	2.77	6.65	11.43	10.82	13.28	11.27	0.37	11.86	14.75	8.74	4.21	2.76	8.32	9.48	8.99	13.51	6.58	13.89	5.35
H3F3A	599.16	421.56	289.72	742.43	343.91	61.51	50.09	41.77	55.05	33.78	36.49	54.33	77.23	48.82	318.61	348.44	380.44	261.59	211.28	396.66	174.52	235.06	405.45	480.9	41.52	17.94	37.31	40.39	45.33	48.05	34.76	47.42	171.38
ANKRD30BL	0	0	0	0	0	0	0.03	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0
ADCK3	18.83	2.81	12.33	16.67	17.65	12.95	42.13	23.71	12.63	13.04	11.92	23.43	27.6	9.04	12.36	8.82	18.17	44.25	22.76	22.85	10.51	12.17	10.14	28.99	54.28	13.72	11.68	25.58	30.38	73.65	19.61	22.19	10.28
SLC16A14	1.27	0.19	2.17	2.55	0.19	1.3	0.19	0.21	0.24	0.15	0.18	0.34	0.4	0.44	0.33	0.72	1.13	0.71	0.49	3.39	0.26	0.61	1.03	3.17	0.09	0.06	0.25	0.73	0.31	0.1	0.39	0.44	1.15
TEKT4	0	0	0	0	0	0.24	0	0.09	0.14	0.04	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.06	0.03	0	0.02	0	0	0.05	0
EN1	2.17	0	0	0	0.36	0.03	0.02	0	0.03	0.01	0.13	0.06	0	0	0.15	0	0.27	0.5	0	0.32	0	0	0.49	0	0.02	0.02	0.15	0.01	0.05	0	0	0.02	0
SGCB	21.61	5.4	29.85	21.53	16.15	24.32	29.31	7.72	46.53	15.83	8.86	24.13	24.7	13.81	9.4	23.68	39.63	24.3	18.43	39.82	8.53	30.47	14.96	23.09	25.36	6.85	15.56	19.23	23.15	28.69	10.42	12.38	21.61
SPATA18	5.67	0.44	6.68	3.65	4.5	15.66	26.85	8.25	54.56	19.06	9.07	25.02	8.96	5.86	0.65	1.88	10.94	6.93	10.94	18.23	0.79	5.37	7.09	13.64	48.06	1.9	17.8	25.54	19.37	24.48	18.91	18.85	0
NOSTRIN	8.46	1.18	7.02	9.72	2.43	39.37	44.39	14.95	48.36	1.33	1.69	27.42	5	9.45	3.86	6.6	18.73	21.68	15.37	42.46	3.56	1.82	4.98	5.42	12.12	5.81	12.55	26.22	23.36	21.93	29.33	14.6	105.52
CFAP221	8.69	1.21	4.72	0	5.39	1.48	18.96	5.93	20.45	17.58	5.16	18.78	25.7	7.95	5.18	3.91	2.86	0.97	4.51	2.63	0.39	1.73	2	2.37	5.56	1.73	7.47	8.94	7.24	12.1	4.49	8.41	2.63
CCDC140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGPP2	13.03	0.34	39.52	6.89	16.83	0.69	13.91	9.43	11.39	7.53	11.48	12.93	9.14	12.54	7.54	50.76	16.82	1.19	5.99	5.73	0.71	6.43	3.47	15.19	10.59	3.86	5.49	6.53	5.24	17.19	4.97	4.86	37.69
INHBB	0.64	0	4.58	4.39	2.17	0.83	0.71	3.23	0.79	6.74	0.11	2.01	0.56	1.13	0	26.75	3.6	1.12	0.87	3.6	0.99	1.6	7.99	23.63	0.33	0.59	0.91	10.74	2.4	0.51	0.65	5.87	5.47
XIRP2	0	0	0	4.22	0	0.02	0	0	0.06	0.02	0.01	0	0	0	0	0	0	2.9	0	0	0	0	0	0	0	0.01	0.04	0	0	0	0	0	0
